1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
398,La proposta di conciliazione:,"Non può costituire motivo di ricusazione o
astensione del giudice.","Può costituire motivo di ricusazione o
astensione del giudice.","Non può costituire motivo di ricusazione o
astensione del giudice, salvo che la proposta
predetta non sia evidentemente più favorevole
per parte ricorrente in pregiudizio a parte
resistente ed il giudice abbia posto in essere
condotte univocamente dirette a favorire la
prima a discapito della seconda.","Può costituire motivo di ricusazione o
astensione del giudice, anche laddove la
proposta predetta non sia evidentemente più
favorevole per parte resistente in pregiudizio a
parte ricorrente. Costituisce motivo di
ricusazione o astensione del giudice nel caso in
quest'ultimo abbia posto in essere condotte
univocamente dirette a favorire la prima a
discapito della seconda."
399,"L'art. 58 del d.lgs. del 31 dicembre 1992 n.
546:",Si occupa delle nuove prove in appello.,"Si occupa della non riproponibilità dell'appello
dichiarato inammissibile.",Si occupa del giudizio di rinvio.,"Si occupa dei provvedimenti sull'esecuzione
provvisoria della sentenza impugnata per
cassazione."
400,"Le corti di giustizia tributaria di primo e
secondo grado:","Quando occorre acquisire elementi conoscitivi
di particolare complessità, possono richiedere
apposite relazioni ad organi tecnici
dell'amministrazione dello Stato o di altri enti
pubblici compreso il Corpo della Guardia di
finanza, ovvero disporre consulenza tecnica.","Quando occorre acquisire elementi conoscitivi
di particolare complessità, possono richiedere
apposite relazioni ad organi tecnici
dell'amministrazione dello Stato o di altri enti
pubblici, escluso il Corpo della Guardia di
finanza, ovvero disporre consulenza tecnica.","Quando occorre acquisire elementi conoscitivi
di particolare complessità, possono disporre
consulenza tecnica. Le Corti di giustizia
tributaria di primo e secondo grado non
possono richiedere apposite relazioni ad organi
tecnici dell'amministrazione dello Stato o di
altri enti pubblici compreso il Corpo della
Guardia di finanza.","Quando occorre acquisire elementi conoscitivi
di particolare complessità, possono disporre
consulenza tecnica. Le Corti di giustizia
tributaria di primo e secondo grado possono
richiedere apposite relazioni ad organi tecnici
dell'amministrazione dello Stato o di altri enti
pubblici, ad eccezione del Corpo della Guardia
di finanza."
401,"Ai sensi dell'art. 3 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Possono accedere al S.I.Gi.T. il personale
abilitato delle segreterie delle Corti di giustizia
tributaria, i consulenti tecnici e gli altri soggetti
di cui all'articolo 7 del decreto legislativo 31
dicembre 1992, n. 546.","Possono accedere al S.I.Gi.T. il personale
abilitato delle segreterie delle Corti di giustizia
tributaria e i consulenti tecnici ad eccezione dei
soggetti di cui all'articolo 7 del decreto
legislativo 31 dicembre 1992, n. 545.","Possono accedere al S.I.Gi.T. il personale
abilitato delle segreterie delle Corti di giustizia
tributaria, i consulenti tecnici e gli altri soggetti
di cui all'articolo 7 del decreto legislativo 31
dicembre 1992, n. 545.","Possono accedere al S.I.Gi.T. il personale
abilitato delle segreterie delle Corti di giustizia
tributaria e i consulenti tecnici ad eccezione dei
soggetti di cui all'articolo 7 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163."
402,"Nel procedimento d'appello si osservano in
quanto applicabili le norme dettate per il
procedimento di primo grado:","Se non sono incompatibili con le disposizioni
della sezione II del Capo III del d.lgs. del 31
dicembre 1992 n. 546.","Se non sono incompatibili con le disposizioni
della sezione III del Capo III del d.lgs. del 31
dicembre 1992 n. 545.","Se non sono incompatibili con le disposizioni
della sezione IV del Capo II del d.lgs. del 31
dicembre 1992 n. 545.","Se non sono incompatibili con le disposizioni
della sezione II del Capo IV del d.lgs. del 31
dicembre 1992 n. 546."
403,"Ai sensi dell'art. 18 del d.lgs. del 18
dicembre 1997 n. 472:","L'autorità giudiziaria ordinaria può comunque
essere adita anche dopo la decisione
amministrativa ed entro centottanta giorni dalla
sua notificazione.","L'autorità giudiziaria ordinaria può comunque
essere adita anche dopo la decisione
amministrativa ed entro centoventi giorni dal
deposito.","L'autorità giudiziaria ordinaria può comunque
essere adita anche dopo la decisione
amministrativa ed entro novanta giorni dalla
sua notificazione.","L'autorità giudiziaria ordinaria può comunque
essere adita anche dopo la decisione
amministrativa ed entro novanta giorni dal
deposito."
404,"Ai sensi dell'art. 2 del d.lgs. del 31 dicembre
1992 n. 546 del 1992:","Sono escluse dalla giurisdizione tributaria le
controversie riguardanti gli atti della
esecuzione forzata tributaria successivi alla
notifica della cartella di pagamento e, ove
previsto, dell'avviso di cui all'articolo 50 del
decreto del Presidente della Repubblica 29
settembre 1973, n. 602, per le quali continuano
ad applicarsi le disposizioni del medesimo
decreto del Presidente della Repubblica.","Appartengono alla giurisdizione tributaria le
controversie riguardanti gli atti della esecuzione
forzata tributaria successivi alla notifica della
cartella di pagamento e, ove previsto,
dell'avviso di cui all'articolo 50 del decreto del
Presidente della Repubblica 29 settembre 1973,
n. 602, per le quali continuano ad applicarsi le
disposizioni del medesimo decreto del
Presidente della Repubblica.","Sono escluse dalla giurisdizione tributaria le
controversie riguardanti gli atti della esecuzione
forzata tributaria successivi alla notifica della
cartella di pagamento. Appartengono alla
giurisdizione tributaria le controversie
riguardanti l'avviso di cui all'articolo 50 del
decreto del Presidente della Repubblica 29
settembre 1973, n. 602, per le quali continuano
ad applicarsi le disposizioni del medesimo
decreto del Presidente della Repubblica.","Appartengono alla giurisdizione tributaria le
controversie riguardanti gli atti della esecuzione
forzata tributaria successivi alla notifica della
cartella di pagamento. Sono escluse dalla
giurisdizione tributaria tutte le controversie
riguardanti l'avviso di cui all'articolo 50 del
decreto del Presidente della Repubblica 29
settembre 1973, n. 602, per le quali continuano
ad applicarsi le disposizioni del medesimo
decreto del Presidente della Repubblica."
405,"L'estinzione del processo può essere
dichiarata:",Dalla Corte di giustizia tributaria con sentenza.,"Dalla Corte di giustizia tributaria con
ordinanza.","Dal Presidente della Corte di giustizia tributaria
con sentenza.","Dal Presidente della Corte di giustizia tributaria
con ordinanza."
406,"Ai sensi dell'art. 5 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Le comunicazioni e le notificazioni telematiche
di cui al comma 1 dell'art. 5 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163 si intendono
perfezionate al momento in cui viene generata
da parte del gestore di posta elettronica
certificata del destinatario la ricevuta di
avvenuta consegna e produce gli effetti di cui
agli articoli 45 e 48 del decreto legislativo 7
marzo 2005, n. 82.","Le comunicazioni e le notificazioni telematiche
di cui al comma 1 dell'art. 5 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163 si intendono perfezionate
al momento in cui viene generata da parte del
gestore di posta elettronica certificata del
destinatario la ricevuta di avvenuta spedizione e
produce gli effetti di cui agli articoli 43 e 48 del
decreto legislativo 7 marzo 2005, n. 82.","Le comunicazioni e le notificazioni telematiche
di cui al comma 1 dell'art. 5 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163 si intendono perfezionate
al momento in cui viene generata da parte del
gestore di posta elettronica certificata del
destinatario la ricevuta di avvenuta spedizione e
produce gli effetti di cui agli articoli 43 e 48 del
decreto legislativo 7 marzo 2005, n. 81.","Le comunicazioni e le notificazioni telematiche
di cui al comma 1 dell'art. 5 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163 si intendono perfezionate
al momento in cui viene generata da parte del
gestore di posta elettronica certificata del
destinatario la ricevuta di avvenuta spedizione e
produce gli effetti di cui agli articoli 44 e 46 del
decreto legislativo 7 marzo 2005, n. 84."
407,"I presidenti delle corti di giustizia tributaria
di primo grado assegnano il ricorso al
giudice monocratico nei casi previsti:","Dall'articolo 4-bis del decreto legislativo 31
dicembre 1992, n. 546.","Dall'articolo 3-bis del decreto legislativo 31
dicembre 1992, n. 545.","Dall'articolo 7-bis del decreto legislativo 31
dicembre 1992, n. 545.","Dall'articolo 6-bis del decreto legislativo 31
dicembre 1992, n. 546."
408,"In sede di rinvio deve essere prodotta copia
autentica della sentenza di cassazione:",A pena di inammissibilità.,A pena di nullità.,A pena di annullamento del rinvio.,A pena di irricevibilità.
409,"Ai sensi dell'art. 2 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Gli atti e i provvedimenti del processo
tributario, possono essere formati come
documenti informatici sottoscritti con firma
elettronica qualificata o firma digitale secondo
le modalità disciplinate nel Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163.","Gli atti e i provvedimenti del processo
tributario, possono essere formati come
documenti informatici sottoscritti,
contestualmente, con firma elettronica
qualificata o firma digitale secondo le modalità
disciplinate nel Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163.","Gli atti e i provvedimenti del processo
tributario, possono essere formati come
documenti informatici sottoscritti con firma
elettronica qualificata o firma digitale secondo
le modalità disciplinate nel d.lgs. del 31
dicembre 1992 n. 545.","Gli atti e i provvedimenti del processo
tributario, possono essere formati come
documenti informatici sottoscritti con firma
elettronica qualificata o firma digitale secondo
le modalità disciplinate dal d.lgs. del 31
dicembre 1992 n. 546."
410,"Ai sensi dell'art. 69 del d.lgs. del 31
dicembre 1992 n. 546 :","Le sentenze di condanna al pagamento di
somme in favore del contribuente e quelle
emesse su ricorso avverso gli atti relativi alle
operazioni catastali indicate nell'articolo 2,
comma 2, del d.lgs. del 31 dicembre 1992 n.
546 sono immediatamente esecutive.","Le sentenze di condanna al pagamento di
somme in favore del contribuente e quelle
emesse su ricorso avverso gli atti relativi alle
operazioni catastali indicate nell'articolo 2,
comma 3, del d.lgs. del 31 dicembre 1992 n.
546 non sono immediatamente esecutive.","Le sentenze di condanna al pagamento di
somme in favore del contribuente e quelle
emesse su ricorso avverso gli atti relativi alle
operazioni catastali indicate nell'articolo 30,
comma 5, del d.lgs. del 31 dicembre 1992 n.
546 sono immediatamente esecutive.","Le sentenze di condanna al pagamento di
somme in favore del contribuente e quelle
emesse su ricorso avverso gli atti relativi alle
operazioni catastali indicate nell'articolo 45,
comma 2, del d.lgs. del 31 dicembre 1992 n.
546 sono immediatamente esecutive."
411,"Ai sensi dell'art. 69 del d.lgs. del 31
dicembre 1992 n. 546 :","Il pagamento delle somme dovute a seguito
della sentenza deve essere eseguito entro
novanta giorni dalla presentazione della
garanzia di cui al comma 2 dell'art. 69 del
d.lgs. del 31 dicembre 1992 n. 546, se dovuta.","Il pagamento delle somme dovute a seguito
della sentenza deve essere eseguito entro
novanta giorni dalla presentazione della
garanzia di cui al comma 4 dell'art. 59 del d.lgs.
del 31 dicembre 1992 n. 546, se dovuta.","Il pagamento delle somme dovute a seguito
della sentenza deve essere eseguito entro
sessanta giorni dalla presentazione della
garanzia di cui al comma 2 dell'art. 19 del d.lgs.
del 31 dicembre 1992 n. 546, se dovuta.","Il pagamento, delle somme dovute a seguito
della sentenza deve essere eseguito entro
novanta giorni dalla presentazione della
garanzia di cui al comma 3 dell'art. 79 del d.lgs.
del 31 dicembre 1992 n. 546, se dovuta."
412,"La disciplina dedicata all'esame preliminare
del ricorso nel processo tributario è
rinvenibile:","Nella Sezione II, Capo I, titolo II del d.lgs. del
31 dicembre 1992 n. 546 art. 27 e ss.","Nella Sezione III, Capo I, titolo II del d.lgs. del
31 dicembre 1992 n. 546 artt. 1 e ss.","Nella Sezione II, Capo II, titolo III del d.lgs. del
31 dicembre 1992 n. 545.","Nella Sezione II, Capo I, titolo IV del d.lgs. del
31 dicembre 1992 n. 545."
413,Selezionare l'affermazione:,"Il ricorso con il quale si richiede l'ottemperanza
degli obblighi derivanti dalla sentenza della
Corte di giustizia tributaria di primo e secondo
grado è proponibile, in mancanza del termine
entro il quale è prescritto dalla legge
l'adempimento a carico dell'ente impositore,
dell'agente della riscossione o del soggetto
iscritto nell'albo di cui all'articolo 53 del
decreto legislativo 15 dicembre 1997, n. 446,
dopo trenta giorni dalla loro messa in mora a
mezzo di ufficiale giudiziario e fino a quando
l'obbligo non sia estinto.","Il ricorso con il quale si richiede l'ottemperanza
degli obblighi derivanti dalla sentenza della
Corte di giustizia tributaria di primo e secondo
grado è proponibile, in mancanza del termine
entro il quale è prescritto dalla legge
l'adempimento a carico dell'ente impositore,
dell'agente della riscossione o del soggetto
iscritto nell'albo di cui all'articolo 53 del decreto
legislativo 15 dicembre 1997, n. 446, dopo
novanta giorni dalla loro messa in mora a
mezzo di ufficiale giudiziario e fino a quando
l'obbligo non sia estinto.","Il ricorso con il quale si richiede l'ottemperanza
degli obblighi derivanti dalla sentenza della
Corte di giustizia tributaria di primo e secondo
grado è proponibile, in mancanza del termine
entro il quale è prescritto dalla legge
l'adempimento a carico dell'ente impositore,
dell'agente della riscossione o del soggetto
iscritto nell'albo di cui all'articolo 53 del decreto
legislativo 15 dicembre 1997, n. 446, dopo
centoventi giorni dalla loro messa in mora a
mezzo di ufficiale giudiziario e fino a quando
l'obbligo non sia estinto.","Il ricorso con il quale si richiede l'ottemperanza
degli obblighi derivanti dalla sentenza della
Corte di giustizia tributaria di primo e secondo
grado è proponibile, in mancanza del termine
entro il quale è prescritto dalla legge
l'adempimento a carico dell'ente impositore,
dell'agente della riscossione o del soggetto
iscritto nell'albo di cui all'articolo 53 del decreto
legislativo 15 dicembre 1997, n. 446, dopo
centoventi giorni dalla loro messa in mora a
mezzo di ufficiale giudiziario o fino a quando
l'obbligo non sia estinto."
